Date,Clics,Impressions,CTR,Position
2025-11-22,83,5958,1.39%,21.94
2025-11-21,86,5112,1.68%,22.21
2025-11-20,75,5809,1.29%,21.09
2025-11-19,80,5287,1.51%,20.13
2025-11-18,80,5047,1.59%,19.8
2025-11-17,105,5403,1.94%,18.72
2025-11-16,91,5320,1.71%,18.7
2025-11-15,93,5288,1.76%,19.18
2025-11-14,107,5743,1.86%,20.18
2025-11-13,88,5884,1.5%,19.76
2025-11-12,112,5588,2%,19.15
2025-11-11,107,5835,1.83%,18.99
2025-11-10,123,6707,1.83%,17.98
2025-11-09,115,5459,2.11%,18.58
2025-11-08,89,6150,1.45%,21.46
2025-11-07,89,5151,1.73%,19.75
2025-11-06,93,5087,1.83%,19.91
2025-11-05,86,4986,1.72%,20.75
2025-11-04,95,4924,1.93%,19.21
2025-11-03,109,5178,2.11%,18.63
2025-11-02,101,5607,1.8%,21.68
2025-11-01,95,5613,1.69%,21.15
2025-10-31,75,4819,1.56%,20.91
2025-10-30,94,5511,1.71%,20.37
2025-10-29,119,5192,2.29%,20.02
2025-10-28,102,5480,1.86%,19.94
2025-10-27,118,5252,2.25%,16.31
2025-10-26,109,4578,2.38%,17.69
2025-10-25,99,5661,1.75%,20.27
2025-10-24,98,4602,2.13%,18.19
2025-10-23,86,5085,1.69%,19.67
2025-10-22,102,5809,1.76%,18.73
2025-10-21,95,5305,1.79%,18.4
2025-10-20,105,5545,1.89%,17.72
2025-10-19,111,5576,1.99%,18.95
2025-10-18,106,6935,1.53%,23.35
2025-10-17,87,5287,1.65%,19.59
2025-10-16,100,5041,1.98%,19.73
2025-10-15,107,5286,2.02%,19.02
2025-10-14,112,5375,2.08%,17.88
2025-10-13,117,5215,2.24%,17.87
2025-10-12,96,5062,1.9%,18.04
2025-10-11,120,5423,2.21%,18.77
2025-10-10,89,5334,1.67%,20.23
2025-10-09,92,4961,1.85%,19.34
2025-10-08,109,5036,2.16%,17.85
2025-10-07,130,5394,2.41%,18.39
2025-10-06,117,5426,2.16%,17.95
2025-10-05,96,4961,1.94%,18.79
2025-10-04,102,5873,1.74%,20.88
2025-10-03,101,4469,2.26%,16.43
2025-10-02,119,5700,2.09%,18.85
2025-10-01,111,6535,1.7%,18.02
2025-09-30,106,6162,1.72%,18.91
2025-09-29,126,5858,2.15%,17.57
2025-09-28,99,5505,1.8%,18.24
2025-09-27,113,5837,1.94%,18.04
2025-09-26,106,5467,1.94%,18.56
2025-09-25,107,5576,1.92%,17.81
2025-09-24,106,5989,1.77%,17.57
2025-09-23,88,6274,1.4%,17.04
2025-09-22,155,7061,2.2%,15.16
2025-09-21,115,7097,1.62%,15.73
2025-09-20,122,7330,1.66%,16.04
2025-09-19,131,8012,1.64%,20.58
2025-09-18,129,6255,2.06%,15.66
2025-09-17,129,7273,1.77%,17.46
2025-09-16,112,6532,1.71%,17.52
2025-09-15,156,7016,2.22%,15.81
2025-09-14,110,6747,1.63%,15.17
2025-09-13,110,6689,1.64%,13.11
2025-09-12,129,7868,1.64%,17.52
2025-09-11,125,7773,1.61%,20.05
2025-09-10,143,8064,1.77%,20.08
2025-09-09,122,8573,1.42%,23.35
2025-09-08,94,8348,1.13%,25.24
2025-09-07,94,7692,1.22%,25.92
2025-09-06,113,8318,1.36%,26.42
2025-09-05,119,8201,1.45%,26.45
2025-09-04,97,8765,1.11%,27.51
2025-09-03,106,8217,1.29%,26.83
2025-09-02,95,7703,1.23%,25.49
2025-09-01,118,8189,1.44%,26.32
2025-08-31,120,8202,1.46%,27.24
2025-08-30,97,8126,1.19%,25.93
2025-08-29,101,7780,1.3%,25.19
2025-08-28,112,8011,1.4%,24.35
2025-08-27,74,8329,0.89%,25.13
2025-08-26,111,9070,1.22%,24.38
2025-08-25,111,8770,1.27%,24.1
2025-08-24,90,7801,1.15%,23.72
2025-08-23,88,8852,0.99%,26.25